ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,city,price_per_sqft,rooms_per_bathroom,age_of_property
100322086,28 Dutamas,2017.0,2500.0,Kuala Lumpur - Solaris Dutamas,Condominium,4,2.0,3.0,1500,Partially Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur,Solaris Dutamas,1.665556295802798,1.0,8.0
100322100,28 Dutamas,2017.0,2900.0,Kuala Lumpur - Solaris Dutamas,Condominium,4,2.0,3.0,1719,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur,Solaris Dutamas,1.686046511627907,1.0,8.0
100322078,Pangsapuri Melur (Sentul),2006.0,1750.0,Kuala Lumpur - Sentul,Apartment,3,1.0,2.0,1065,Partially Furnished,None,None,Kuala Lumpur,Sentul,1.6416510318949344,1.0,19.0
100202252,Residensi Vista Wirajaya,2017.0,1800.0,Kuala Lumpur - Setapak,Apartment,3,1.0,2.0,885,Fully Furnished,None,None,Kuala Lumpur,Setapak,2.0316027088036117,1.0,8.0
100136931,Bayu Sentul Condominium,2015.0,1900.0,Kuala Lumpur - Sentul,Condominium,3,2.0,2.0,1300,Partially Furnished,None,None,Kuala Lumpur,Sentul,1.4604150653343582,1.0,10.0
100234716,Flexus Signature Suites,2017.0,1500.0,Kuala Lumpur - Jalan Kuching,Studio,1,1.0,1.0,530,Fully Furnished,"Parking, Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Jalan Kuching,2.824858757062147,0.5,8.0
100322047,Menjalara 18,2017.0,2400.0,Kuala Lumpur - Bandar Menjalara,Condominium,3,1.0,2.0,1316,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Bandar Menjalara,1.8223234624145785,1.0,8.0
93075352,G Residence @ Desa Pandan,2015.0,4500.0,Kuala Lumpur - Desa Pandan,Service Residence,3,2.0,2.0,1539,Fully Furnished,"Multipurpose hall, Security, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Desa Pandan,2.9220779220779223,1.0,10.0
99876261,Greenpark,1999.0,1400.0,Kuala Lumpur - Old Klang Road,Condominium,3,1.0,2.0,1270,Partially Furnished,"Parking, Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Internet",Kuala Lumpur,Old Klang Road,1.1014948859166012,1.0,26.0
100322029,Majestic Maxim,2021.0,1800.0,Kuala Lumpur - Cheras,Service Residence,3,1.0,2.0,819,Partially Furnished,"Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Parking, Playground, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,Cheras,2.1951219512195124,1.0,4.0
100322005,Baiduri Apartment (Desa Pandan),2017.0,1500.0,Kuala Lumpur - Desa Pandan,Apartment,3,1.0,2.0,950,Partially Furnished,"Security, Parking",None,Kuala Lumpur,Desa Pandan,1.5772870662460567,1.0,8.0
98292007,Bennington Residences @ SkyArena,2019.0,3000.0,Kuala Lumpur - Setapak,Condominium,3,2.0,2.0,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur,Setapak,2.4979184013322233,1.0,6.0
100321936,Sri Putramas,2004.0,1600.0,Kuala Lumpur - Jalan Kuching,Condominium,3,1.0,2.0,1100,Fully Furnished,"Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Jalan Kuching,1.4532243415077202,1.0,21.0
100321976,Putra Villa,2007.0,1800.0,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,1066,Fully Furnished,None,None,Kuala Lumpur,Setapak,1.6869728209934396,1.0,18.0
99627362,38 Bidara,2017.0,2100.0,Kuala Lumpur - KLCC,Condominium,2,1.0,2.0,706,Fully Furnished,"Minimart, Swimming Pool, Sauna, Parking, Security, Gymnasium, Barbeque area, Club house, Playground",None,Kuala Lumpur,Klcc,2.9702970297029703,0.6666666666666666,8.0
99492392,3 Towers,2015.0,2500.0,Kuala Lumpur - Ampang Hilir,Condominium,2,1.0,1.0,890,Fully Furnished,"Security, Gymnasium, Multipurpose hall, Parking, Barbeque area, Swimming Pool",None,Kuala Lumpur,Ampang Hilir,2.8058361391694726,1.0,10.0
100036659,One Maxim,2020.0,1300.0,Kuala Lumpur - Sentul,Service Residence,2,1.0,2.0,650,Partially Furnished,"Jogging Track, Playground, Parking, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Security, Barbeque area",None,Kuala Lumpur,Sentul,1.9969278033794162,0.6666666666666666,5.0
99528357,Casa Mutiara,2007.0,2000.0,Kuala Lumpur - Bukit Bintang,Service Residence,2,1.0,2.0,742,Fully Furnished,"Gymnasium, Sauna, Parking, Playground, Security, Swimming Pool, Barbeque area",None,Kuala Lumpur,Bukit Bintang,2.6917900403768504,0.6666666666666666,18.0
100321885,Sofiya Residences,2017.0,2000.0,Kuala Lumpur - Desa ParkCity,Condominium,3,1.0,2.0,862,Fully Furnished,"Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Desa Parkcity,2.317497103128621,1.0,8.0
100273689,Laman Tasik,2002.0,2100.0,Kuala Lumpur - Cheras,Condominium,4,1.0,3.0,1300,Fully Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium",None,Kuala Lumpur,Cheras,1.6141429669485012,1.0,23.0
100033999,Residensi Seri Wahyu @ Jalan Kuching KL,2017.0,1300.0,Kuala Lumpur - KL City,Apartment,3,1.0,2.0,805,Partially Furnished,"Squash Court, Jogging Track, Gymnasium, Parking, Swimming Pool, Lift, Security, Playground, Minimart",None,Kuala Lumpur,Kl City,1.6129032258064515,1.0,8.0
100033960,The Hamilton,2020.0,2600.0,Kuala Lumpur - Wangsa Maju,Condominium,4,2.0,2.0,1000,Fully Furnished,"Playground, Jogging Track, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Security, Gymnasium",None,Kuala Lumpur,Wangsa Maju,2.5974025974025974,1.3333333333333333,5.0
99844667,3 Towers,2015.0,2000.0,Kuala Lumpur - Ampang Hilir,Service Residence,1,1.0,1.0,440,Fully Furnished,"Barbeque area, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium",None,Kuala Lumpur,Ampang Hilir,4.535147392290249,0.5,10.0
100321850,Menjalara 18,2017.0,2500.0,Kuala Lumpur - Bandar Menjalara,Condominium,5,2.0,3.0,1600,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Bandar Menjalara,1.5615240474703311,1.25,8.0
100321800,The Havre @ Bukit Jalil,2020.0,2500.0,Kuala Lumpur - Bukit Jalil,Condominium,3,2.0,2.0,1028,Fully Furnished,"Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Parking, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Bukit Jalil,2.4295432458697763,1.0,5.0
94858400,Unknown,2017.0,2000.0,Kuala Lumpur - Setapak,Condominium,4,1.0,2.0,940,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Minimart, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,2.1253985122210413,1.3333333333333333,8.0
93420010,Unknown,2017.0,1800.0,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,860,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,2.0905923344947737,1.0,8.0
86821569,Unknown,2017.0,1700.0,Kuala Lumpur - Jalan Kuching,Condominium,3,2.0,2.0,1100,Partially Furnished,Swimming Pool,Air-Cond,Kuala Lumpur,Jalan Kuching,1.5440508628519527,1.0,8.0
94858340,Unknown,2017.0,1600.0,Kuala Lumpur - Setapak,Condominium,4,1.0,2.0,914,Partially Furnished,"Swimming Pool, Squash Court, Security, Parking, Lift, Tennis Court, Jogging Track, Gymnasium, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Setapak,1.7486338797814207,1.3333333333333333,8.0
94861261,Unknown,2017.0,2000.0,Kuala Lumpur - Jalan Kuching,Condominium,3,2.0,2.0,1100,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Lift, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Jalan Kuching,1.8165304268846503,1.0,8.0
94962913,Unknown,2017.0,1500.0,Kuala Lumpur - Kepong,Condominium,3,2.0,2.0,1100,Partially Furnished,"Swimming Pool, Gymnasium, Squash Court, Security, Parking, Lift, Jogging Track, Tennis Court, Playground, Minimart",Air-Cond,Kuala Lumpur,Kepong,1.3623978201634876,1.0,8.0
95481469,Unknown,2017.0,1700.0,Kuala Lumpur - Jalan Kuching,Condominium,3,2.0,2.0,1100,Partially Furnished,"Swimming Pool, Gymnasium, Parking, 10","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Jalan Kuching,1.5440508628519527,1.0,8.0
95865588,Unknown,2017.0,1850.0,Kuala Lumpur - Kepong,Condominium,3,2.0,2.0,1100,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur,Kepong,1.6802906448683015,1.0,8.0
97361235,Unknown,2017.0,1700.0,Kuala Lumpur - Sentul,Condominium,4,2.0,3.0,1200,Partially Furnished,"Security, Playground, Gymnasium, Swimming Pool, Parking, Minimart, Lift, Sauna, Multipurpose hall, Squash Court, Tennis Court, Barbeque area, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Sentul,1.4154870940882598,1.0,8.0
97361227,Unknown,2017.0,1700.0,Kuala Lumpur - Jalan Ipoh,Service Residence,2,1.0,2.0,904,Fully Furnished,"Playground, Lift, Club house, Security, Gymnasium, Jogging Track, Swimming Pool, Parking, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Jalan Ipoh,1.8784530386740332,0.6666666666666666,8.0
97407806,Unknown,2017.0,1800.0,Kuala Lumpur - Kepong,Condominium,4,2.0,2.0,1300,Partially Furnished,"Parking, Lift, Security, Gymnasium, Club house, Jogging Track, Sauna, Barbeque area, Tennis Court, Minimart, Squash Court, Multipurpose hall, Playground, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur,Kepong,1.3835511145272867,1.3333333333333333,8.0
100290798,M3 Residency,2017.0,1600.0,Kuala Lumpur - Setapak,Condominium,3,1.0,2.0,950,Partially Furnished,None,None,Kuala Lumpur,Setapak,1.6824395373291272,1.0,8.0
97406687,Unknown,2017.0,1600.0,Kuala Lumpur - Kepong,Condominium,3,2.0,2.0,1100,Partially Furnished,"Parking, Lift, Swimming Pool, Playground, Multipurpose hall, Squash Court, Minimart, Barbeque area, Tennis Court, Jogging Track, Club house, Gymnasium, Sauna, Security","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur,Kepong,1.4532243415077202,1.0,8.0
100321689,Majestic Maxim,2021.0,1400.0,Kuala Lumpur - Cheras,Service Residence,2,2.0,2.0,650,Not Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur,Cheras,2.150537634408602,0.6666666666666666,4.0
100321678,D'Puncak Suasana,2017.0,1000.0,Kuala Lumpur - KLCC,Apartment,3,2.0,2.0,1000,Partially Furnished,"Playground, Swimming Pool, Parking, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur,Klcc,0.999000999000999,1.0,8.0
100321609,Kaleidoscope,2017.0,2700.0,Kuala Lumpur - Setiawangsa,Condominium,3,1.0,2.0,1115,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Club house",None,Kuala Lumpur,Setiawangsa,2.4193548387096775,1.0,8.0
100321665,KL Traders Square Residences,2019.0,1400.0,Kuala Lumpur - Gombak,Service Residence,3,1.0,2.0,850,Not Furnished,"Swimming Pool, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Gombak,1.645123384253819,1.0,6.0
100321664,Prisma Cheras,2017.0,1500.0,Kuala Lumpur - Cheras,Condominium,2,1.0,1.0,717,Fully Furnished,"Tennis Court, Sauna, Gymnasium, Squash Court, Barbeque area, Playground, Security, Parking, Swimming Pool, Lift, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur,Cheras,2.0891364902506964,1.0,8.0
100321580,Seasons Garden Residences @ Wangsa Maju,2017.0,1350.0,Kuala Lumpur - Wangsa Maju,Apartment,3,1.0,2.0,850,Partially Furnished,None,None,Kuala Lumpur,Wangsa Maju,1.5863689776733254,1.0,8.0
100321562,Lavile,2021.0,3000.0,Kuala Lumpur - Cheras,Service Residence,3,1.0,2.0,864,Fully Furnished,"Swimming Pool, Barbeque area, Security, Multipurpose hall, Gymnasium, Lift, Parking, Playground, Sauna, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Cheras,3.468208092485549,1.0,4.0
100321251,Maxim Citilights,2017.0,1300.0,Kuala Lumpur - Sentul,Service Residence,3,1.0,2.0,1150,Not Furnished,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Jogging Track, Lift, Parking",Near KTM/LRT,Kuala Lumpur,Sentul,1.1294526498696786,1.0,8.0
100321351,Fajar Ria,2017.0,2500.0,Kuala Lumpur - Pantai,Condominium,3,1.0,2.0,1500,Fully Furnished,"Parking, Security, Playground, Swimming Pool, Gymnasium","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur,Pantai,1.665556295802798,1.0,8.0
99435019,PPA1M Bukit Jalil,2017.0,1300.0,Kuala Lumpur - Bukit Jalil,Apartment,3,1.0,2.0,1000,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall",None,Kuala Lumpur,Bukit Jalil,1.2987012987012987,1.0,8.0
